person_id,id,name,character,role
24502,tm189764,Allen Hughes,,DIRECTOR
92056,tm10739,Robert Longo,,DIRECTOR
63506,tm1822,Charles T. Kanganis,,DIRECTOR
371210,tm55369,David Moreton,,DIRECTOR
21376,tm192431,Alan J. Pakula,,DIRECTOR
48814,tm192199,Mark A.Z. Dippé,,DIRECTOR
94658,tm56033,Mike Hodges,,DIRECTOR
30465,tm117488,Christopher Cain,,DIRECTOR
5104,tm190811,Walter Hill,,DIRECTOR
36580,tm191431,Tsui Hark,,DIRECTOR
18526,tm10811,James Mangold,,DIRECTOR
9083,tm49839,Ice Cube,,DIRECTOR
45230,tm67635,Karan Johar,,DIRECTOR
32374,tm320211,John Smithson,,DIRECTOR
466957,tm7073,Alan J. Levi,,DIRECTOR
451452,ts28516,Bruno Stagnaro,,DIRECTOR
63060,tm117873,Sooraj Barjatya,,DIRECTOR
66323,tm55100,Mani Ratnam,,DIRECTOR
64608,tm64817,Marty Callner,,DIRECTOR
218570,tm188606,Haile Gerima,,DIRECTOR
56700,tm41525,Luis Estrada,,DIRECTOR
296068,tm189171,Marcelo Piñeyro,,DIRECTOR
251092,tm63514,James Moll,,DIRECTOR
433273,tm188970,Chris Bould,,DIRECTOR
66323,tm12876,Mani Ratnam,,DIRECTOR
258373,ts224786,Sergio Cabrera,,DIRECTOR
68124,tm62176,Indra Kumar,,DIRECTOR
68766,tm52871,Abbas Alibhai Burmawalla,,DIRECTOR
68767,tm52871,Mastan Alibhai Burmawalla,,DIRECTOR
128365,tm8687,Walter C. Miller,,DIRECTOR
188285,tm104933,Chuck Vinson,,DIRECTOR
64436,tm184326,Rajkumar Santoshi,,DIRECTOR
63060,tm62385,Sooraj Barjatya,,DIRECTOR
74584,tm110766,Elia Suleiman,,DIRECTOR
119079,tm9898,K. S. Ravikumar,,DIRECTOR
143176,tm47530,Shankar,,DIRECTOR
69393,tm57169,Paul Miller,,DIRECTOR
432789,tm192301,Rajiv Menon,,DIRECTOR
103843,tm58893,Mahesh Bhatt,,DIRECTOR
119079,tm110160,K. S. Ravikumar,,DIRECTOR
456639,tm118438,Rahul Rawail,,DIRECTOR
149376,tm424630,Richard Michaels,,DIRECTOR
104035,tm27601,Aziz Mirza,,DIRECTOR
136620,tm203186,Mai Masri,,DIRECTOR
433273,tm128073,Chris Bould,,DIRECTOR
141630,tm7951,Ellen Brown,,DIRECTOR
37697,tm7135,John Fortenberry,,DIRECTOR
141630,tm7135,Ellen Brown,,DIRECTOR
56754,tm52083,Ziad Doueiri,,DIRECTOR
57119,tm340430,Ram Gopal Varma,,DIRECTOR
479396,tm7032,Maroun Bagdadi,,DIRECTOR
103843,tm256669,Mahesh Bhatt,,DIRECTOR
188285,tm64729,Chuck Vinson,,DIRECTOR
36204,tm184224,Debbie Allen,,DIRECTOR
441310,tm25389,Khalid Mohammed,,DIRECTOR
189233,tm34391,Will Yapp,,DIRECTOR
173191,tm44776,Youssef Chahine,,DIRECTOR
456639,tm334788,Rahul Rawail,,DIRECTOR
173191,tm117840,Youssef Chahine,,DIRECTOR
65673,tm42397,Sohail Khan,,DIRECTOR
400986,tm314602,Bunty Soorma,,DIRECTOR
67640,tm255589,Mike Clattenburg,,DIRECTOR
209282,tm7810,Royer Young,,DIRECTOR
80741,tm210754,Yılmaz Erdoğan,,DIRECTOR
434193,tm449775,Umesh Mehra,,DIRECTOR
1230993,tm449775,Latif Faizav,,DIRECTOR
1752,tm74402,Frank Darabont,,DIRECTOR
18336,tm91952,Mark Waters,,DIRECTOR
2779,tm111828,Steven Spielberg,,DIRECTOR
135115,ts26091,Jean-Xavier de Lestrade,,DIRECTOR
9756,tm150112,Todd Phillips,,DIRECTOR
1092,tm80906,Adam McKay,,DIRECTOR
1725,tm92641,Christopher Nolan,,DIRECTOR
3308,tm27911,Martin Scorsese,,DIRECTOR
2709,tm88465,James Wan,,DIRECTOR
2779,tm172683,Steven Spielberg,,DIRECTOR
606531,ts20305,Hayato Date,,DIRECTOR
3866,tm42877,Timur Bekmambetov,,DIRECTOR
3630,tm39030,Martin Campbell,,DIRECTOR
2779,tm89677,Steven Spielberg,,DIRECTOR
5567,tm78592,Tony Gilroy,,DIRECTOR
17741,tm105329,Sam Mendes,,DIRECTOR
8212,tm139658,Tim Burton,,DIRECTOR
21388,tm26327,Kathryn Bigelow,,DIRECTOR
11847,tm95477,Wolfgang Petersen,,DIRECTOR
4505,tm154187,Guy Ritchie,,DIRECTOR
8794,tm133767,Richard Curtis,,DIRECTOR
11002,tm45454,Peter Segal,,DIRECTOR
4994,tm26897,Marc Forster,,DIRECTOR
7026,tm133374,John Lee Hancock,,DIRECTOR
